Unique id,channel_name,category,Sub-category,Customer Remarks,Order_id,order_date_time,Issue_reported at,issue_responded,Survey_response_Date,Customer_City,Product_category,Item_price,connected_handling_time,Agent_name,Supervisor,Manager,Tenure Bucket,Agent Shift,CSAT Score
7e9ae164-6a8b-4521-a2d4-58f7c9fff13f,Outcall,Product Queries,Life Insurance,,c27c9bb4-fa36-4140-9f1f-21009254ffdb,,01/08/2023 11:13,01/08/2023 11:47,01-Aug-23,,,,,Richard Buchanan,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,5
b07ec1b0-f376-43b6-86df-ec03da3b2e16,Outcall,Product Queries,Product Specific Information,,d406b0c7-ce17-4654-b9de-f08d421254bd,,01/08/2023 12:52,01/08/2023 12:54,01-Aug-23,,,,,Vicki Collins,Dylan Kim,Michael Lee,>90,Morning,5
200814dd-27c7-4149-ba2b-bd3af3092880,Inbound,Order Related,Installation/demo,,c273368d-b961-44cb-beaf-62d6fd6c00d5,,01/08/2023 20:16,01/08/2023 20:38,01-Aug-23,,,,,Duane Norman,Jackson Park,William Kim,On Job Training,Evening,5
eb0d3e53-c1ca-42d3-8486-e42c8d622135,Inbound,Returns,Reverse Pickup Enquiry,,5aed0059-55a4-4ec6-bb54-97942092020a,,01/08/2023 20:56,01/08/2023 21:16,01-Aug-23,,,,,Patrick Flores,Olivia Wang,John Smith,>90,Evening,5
ba903143-1e54-406c-b969-46c52f92e5df,Inbound,Cancellation,Not Needed,,e8bed5a9-6933-4aff-9dc6-ccefd7dcde59,,01/08/2023 10:30,01/08/2023 10:32,01-Aug-23,,,,,Christopher Sanchez,Austin Johnson,Michael Lee,0-30,Morning,5
1cfde5b9-6112-44fc-8f3b-892196137a62,Email,Returns,Fraudulent User,,a2938961-2833-45f1-83d6-678d9555c603,,01/08/2023 15:13,01/08/2023 18:39,01-Aug-23,,,,,Desiree Newton,Emma Park,John Smith,0-30,Morning,5
11a3ffd8-1d6b-4806-b198-c60b5934c9bc,Outcall,Product Queries,Product Specific Information,,bfcb562b-9a2f-4cca-aa79-fd4e2952f901,,01/08/2023 15:31,01/08/2023 23:52,01-Aug-23,,,,,Shannon Hicks,Aiden Patel,Olivia Tan,>90,Morning,5
372b51a5-fa19-4a31-a4b8-a21de117d75e,Inbound,Returns,Exchange / Replacement,Very good,88537e0b-5ffa-43f9-bbe2-fe57a0f4e4ae,,01/08/2023 16:17,01/08/2023 16:23,01-Aug-23,,,,,Laura Smith,Evelyn Kimura,Jennifer Nguyen,On Job Training,Evening,5
6e4413db-4e16-42fc-ac92-2f402e3df03c,Inbound,Returns,Missing,Shopzilla app and it's all coustomer care services is very good service provided all time,e6be9713-13c3-493c-8a91-2137cbbfa7e6,,01/08/2023 21:03,01/08/2023 21:07,01-Aug-23,,,,,David Smith,Nathan Patel,John Smith,>90,Split,5
b0a65350-64a5-4603-8b9a-a24a4a145d08,Inbound,Shopzilla Related,General Enquiry,,c7caa804-2525-499e-b202-4c781cb68974,,01/08/2023 23:31,01/08/2023 23:36,01-Aug-23,,,,,Tabitha Ayala,Amelia Tanaka,Michael Lee,31-60,Evening,5
74a2cbbf-497e-4177-b30b-483f99effb13,Outcall,Returns,Return request,,5862d1a1-2081-4e28-ad0a-cec43380ac7d,,02/08/2023 18:14,02/08/2023 18:16,02-Aug-23,,,,,Carla Morgan,Nathan Patel,Emily Chen,0-30,Evening,4
4c28acf4-2ea4-4be8-b8f1-113e676fc8b7,Inbound,Order Related,Delayed,Very bad,55bbace3-eb2e-4f67-aacb-4f8ee8512f75,19/07/2023 23:50,02/08/2023 10:44,02/08/2023 11:14,02-Aug-23,NAGPUR,LifeStyle,434,,Stanley Hogan,Harper Wong,Emily Chen,>90,Split,1
e7ec72bb-65e9-4464-9c2b-8ce6b0e82a28,Inbound,Shopzilla Related,General Enquiry,,c7d5eef8-d239-474c-8d24-542db2923b3c,,01/08/2023 10:09,01/08/2023 10:12,01-Aug-23,,,,,Timothy Scott,Zoe Yamamoto,William Kim,On Job Training,Morning,4
68c596f2-4130-42f9-a140-b336261b1629,Inbound,Shopzilla Related,General Enquiry,,c1e10375-7426-4b2a-aca6-17dc6bc9c7a3,,01/08/2023 10:15,01/08/2023 11:21,01-Aug-23,,,,,Shannon Hicks,Aiden Patel,Olivia Tan,>90,Morning,4
6b966653-0900-4d58-8b38-c17cfbdaf000,Inbound,Returns,Reverse Pickup Enquiry,,9e0d7d55-d012-42f7-8e21-634942419386,,02/08/2023 11:26,02/08/2023 11:44,02-Aug-23,,,,,Mark Wilson,Scarlett Chen,John Smith,0-30,Morning,5
130dfefe-1d77-47f9-b759-546f24b6b909,Inbound,Returns,Missing,,8153c646-4940-406f-992c-952ed08e9af8,,02/08/2023 19:56,02/08/2023 20:06,02-Aug-23,,,,,Mark Black,Sophia Sato,John Smith,>90,Afternoon,5
4cc4df74-fcd3-413a-920d-ca3ad2dd0904,Inbound,Returns,Service Centres Related,,4245d6df-49c6-491a-8724-125c4df82e75,06/05/2023 21:41,01/08/2023 09:01,01/08/2023 09:03,01-Aug-23,RANCHI,Electronics,1299,,Amy Mendez,Sophia Sato,John Smith,0-30,Morning,5
c54459b3-ffb3-4ffa-a338-6fd179beb6b1,Inbound,Order Related,Installation/demo,Something ,0cdaa1f1-02f2-40ec-9134-7cd0f92a6b3e,,01/08/2023 10:00,01/08/2023 10:04,01-Aug-23,,,,,Jennifer May,Zoe Yamamoto,William Kim,On Job Training,Morning,3
deccfb1d-05d4-40b8-8371-15282c91bacb,Inbound,Cancellation,Not Needed,,3f16b782-27cf-4831-b542-cd8bd60c0385,,01/08/2023 21:05,01/08/2023 21:07,01-Aug-23,,,,,Ryan Thompson,Olivia Wang,Emily Chen,31-60,Evening,5
6e51734e-9627-4a12-8062-877c3638627d,Inbound,Order Related,Installation/demo,All good,8a1ae638-4d8c-4a5e-bf1b-eb74f881fc3d,18/07/2023 12:20,02/08/2023 20:03,02/08/2023 20:05,02-Aug-23,NAGPUR,Electronics,15990,,David Butler,Olivia Wang,Emily Chen,31-60,Evening,5
2376e4ae-aafb-4320-9f45-e402f943d264,Inbound,Returns,Reverse Pickup Enquiry,,96bd06f2-beb2-4462-834f-b6b77aae8c4e,,01/08/2023 22:31,01/08/2023 22:59,01-Aug-23,,,,,Stephen Morris,Wyatt Kim,Michael Lee,>90,Evening,5
00df431a-b184-417a-ae49-c4feb6bd00bb,Inbound,Returns,Return request,Good ,91ba71bf-f229-4544-9dc6-be3b6c2e51d2,,02/08/2023 20:01,02/08/2023 20:16,02-Aug-23,,,,,Jacob Hendricks,Logan Lee,Emily Chen,61-90,Evening,5
415f125e-d71e-41a6-8d79-ab9169b2c60b,Outcall,Returns,Return request,,a076e47c-cb0b-458d-b4bb-935e04203b1f,,02/08/2023 16:15,02/08/2023 16:17,02-Aug-23,,,,,Michael Allen,Mia Patel,Olivia Tan,0-30,Afternoon,4
3cc96e2f-74b4-4f5b-a4d5-9bf16ae14975,Inbound,Payments related,Payment related Queries,Godd job,91fd56f7-fef1-4d16-9839-0051bda0f370,,02/08/2023 16:50,02/08/2023 16:52,02-Aug-23,,,,,Samuel Spencer,Zoe Yamamoto,John Smith,>90,Afternoon,5
081f62d7-332f-4aac-91cf-e79758976725,Inbound,Returns,Reverse Pickup Enquiry,,2509fa08-318d-4526-8122-51603af956a8,15/07/2023 14:47,01/08/2023 08:55,01/08/2023 08:57,01-Aug-23,BETIA,Electronics,1099,,Cynthia Mills,William Park,John Smith,31-60,Morning,5
c0edcb0a-cfa8-4f35-86ad-88c9f6b47290,Inbound,Order Related,Order status enquiry,Issue not resolved pathetic service,e4eed4bb-1b1e-4894-bbd0-e2ba491b562b,29/07/2023 13:35,02/08/2023 11:07,02/08/2023 11:10,02-Aug-23,NEW DELHI,Mobile,99999,,Michelle Williams,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,1
0187565a-b6ff-4180-9869-a29128267d51,Inbound,Order Related,Delayed,,24c3e082-0548-485b-a649-7e4dac116731,28/07/2023 10:52,01/08/2023 16:28,01/08/2023 16:31,01-Aug-23,KODERMA,Home Appliences,3199,,Carl Douglas,Emily Yamashita,Michael Lee,31-60,Morning,5
867c2b1d-3b4f-4434-87e0-125af687dc4a,Inbound,Returns,Fraudulent User,Excellent ,159aec02-1396-4dd7-95f4-acba7a790ff7,25/07/2023 13:49,02/08/2023 21:06,02/08/2023 21:07,02-Aug-23,FARIDABAD,LifeStyle,664,,Wendy Taylor,Madison Kim,Michael Lee,31-60,Evening,5
b92ce596-3d4f-4fb0-87b4-8223ccb5f63c,Inbound,Returns,Reverse Pickup Enquiry,,0e53b17c-6d33-4b57-9753-e788545bb995,,02/08/2023 07:09,02/08/2023 07:10,02-Aug-23,,,,,Jake Castro,Noah Patel,Michael Lee,>90,Morning,4
93c9b522-8046-4a69-82ad-96784b6d3fce,Inbound,Cancellation,Return cancellation,Very good ,57fa0ee6-7b49-4721-ad09-7a717fd7afeb,,01/08/2023 16:37,01/08/2023 21:37,01-Aug-23,,,,,Stephen Morris,Wyatt Kim,Michael Lee,>90,Evening,4
0644deaa-8ff7-4ddf-baf7-5964da879d1b,Inbound,Returns,Reverse Pickup Enquiry,Give proper guidance to the customer ,57df6fba-465e-46a7-8a9d-98df37cf8f13,,01/08/2023 18:41,01/08/2023 18:42,01-Aug-23,,,,,Matthew Bennett,Olivia Wang,John Smith,>90,Evening,5
